 numeric code,Location,Sex,Note,2000.00,2005,2010,2015,2020
226,         Equatorial Guinea,Male,,318.06,401.184,516.479,648.404,780.462
266,         Gabon,Both sexes combined,,1231.12,1403.126,1640.21,1930.175,2151.289
266,         Gabon,Female,,620.44,700.401,803.282,938.316,1048.462
266,         Gabon,Male,,610.67,702.725,836.931,991.862,1102.827
678,         Sao Tome and Principe,Both sexes combined,,138.61,155.63,174.776,195.553,218.011
678,         Sao Tome and Principe,Female,,69.79,78.271,87.806,98.188,109.429
678,         Sao Tome and Principe,Male,,68.81,77.356,86.964,97.361,108.59
912,      Northern Africa,Both sexes combined,,172558.87,187832.255,204310.19,225135.657,246049.308
912,      Northern Africa,Female,,85821.91,93465.532,101809.214,112072.891,122422.435
912,      Northern Africa,Male,,86736.94,94366.718,102500.98,113062.757,123626.885
12,         Algeria,Both sexes combined,,31183.66,33288.437,36117.637,39871.528,43333.255
12,         Algeria,Female,,15380.51,16452.871,17887.241,19738.059,21448.583
12,         Algeria,Male,,15803.15,16835.565,18230.4,20133.472,21884.68
818,         Egypt,Both sexes combined,,69905.99,76778.149,84107.606,93778.172,102941.484
818,         Egypt,Female,,34741.73,38071.514,41641.633,46369.234,50895.684
818,         Egypt,Male,,35164.26,38706.637,42465.97,47408.942,52045.801
434,         Libya,Both sexes combined,,5355.75,5792.688,6169.14,6234.955,6662.173
434,         Libya,Female,,2575.49,2805.685,3019.589,3086.641,3306.073
434,         Libya,Male,,2780.26,2986.999,3149.563,3148.308,3356.103
504,         Morocco,Both sexes combined,,28849.62,30521.07,32409.639,34803.322,37070.718
504,         Morocco,Female,,14555.64,15445.757,16436.823,17582.909,18696.042
504,         Morocco,Male,,14293.98,15075.319,15972.814,17220.41,18374.677
729,         Sudan,Both sexes combined,,27250.54,30911.914,34385.963,38647.803,43541.203
729,         Sudan,Female,,13585.67,15411.916,17232.706,19342.802,21770.989
729,         Sudan,Male,,13664.87,15499.995,17153.255,19304.999,21770.213
788,         Tunisia,Both sexes combined,,9699.20,10102.482,10639.931,11273.661,11903.136
788,         Tunisia,Female,,4833.19,5070.945,5363.833,5703.301,6019.994
788,         Tunisia,Male,,4865.99,5031.531,5276.099,5570.36,5883.151
732,         Western Sahara,Both sexes combined,,314.12,437.515,480.274,526.216,597.339
732,         Western Sahara,Female,,149.68,206.844,227.389,249.945,285.07
732,         Western Sahara,Male,,164.43,230.672,252.879,276.266,312.26
913,      Southern Africa,Both sexes combined,,52286.08,55764.05,59016.093,63419.639,67595.044
913,      Southern Africa,Female,,26655.07,28422.407,30066.556,32306.097,34468.965
913,      Southern Africa,Male,,25631.01,27341.64,28949.547,31113.546,33126.074
72,         Botswana,Both sexes combined,,1728.34,1855.852,2014.866,2209.197,2415.766
72,         Botswana,Female,,876.33,939.818,1018.675,1117.555,1220.674
72,         Botswana,Male,,852.00,916.027,996.189,1091.64,1195.089
426,         Lesotho,Both sexes combined,,1868.70,1949.543,2040.551,2174.645,2322.217
426,         Lesotho,Female,,969.39,1007.296,1052.151,1119.928,1192.463
426,         Lesotho,Male,,899.30,942.243,988.404,1054.725,1129.75
516,         Namibia,Both sexes combined,,1899.26,2032.196,2173.17,2425.561,2696.537
516,         Namibia,Female,,970.75,1044.651,1120.726,1246.821,1383.053
516,         Namibia,Male,,928.51,987.548,1052.446,1178.734,1313.486
710,         South Africa,Both sexes combined,,45728.32,48820.586,51584.663,55291.225,58721.229
710,         South Africa,Female,,23287.95,24859.928,26255.47,28141.909,29929.942
710,         South Africa,Male,,22440.37,23960.662,25329.199,27149.317,28791.293
748,         Swaziland,Both sexes combined,,1061.47,1105.873,1202.843,1319.011,1439.295
748,         Swaziland,Female,,550.65,570.714,619.534,679.884,742.833
748,         Swaziland,Male,,510.82,535.16,583.309,639.13,696.456
914,      Western Africa,Both sexes combined,3,235508.30,268607.649,307781.164,352613.862,402578.892
914,      Western Africa,Female,3,117291.91,133750.668,153186.291,175221.613,199819.194
914,      Western Africa,Male,3,118216.42,134856.97,154594.841,177392.254,202759.706
204,         Benin,Both sexes combined,,6865.95,7982.225,9199.259,10575.952,12122.985
204,         Benin,Female,,3483.09,4026.821,4630.42,5305.83,6068.873
204,         Benin,Male,,3382.86,3955.402,4568.834,5270.132,6054.109
854,         Burkina Faso,Both sexes combined,,11607.94,13421.93,15605.217,18110.624,20903.345
854,         Burkina Faso,Female,,5906.29,6799.932,7867.592,9091.844,10458.597
854,         Burkina Faso,Male,,5701.66,6622.003,7737.619,9018.772,10444.751
132,         Cabo Verde,Both sexes combined,,435.08,474.567,502.384,532.913,567.348
132,         Cabo Verde,Female,,225.20,242.427,252.786,267.545,284.261
132,         Cabo Verde,Male,,209.88,232.139,249.595,265.363,283.085
384,         Côte d'Ivoire,Both sexes combined,,16686.56,18336.303,20401.331,23108.472,26171.75
384,         Côte d'Ivoire,Female,,8076.63,8935.191,9992.365,11379.958,12948.408
384,         Côte d'Ivoire,Male,,8609.93,9401.109,10408.967,11728.519,13223.344
270,         Gambia,Both sexes combined,,1231.84,1444.204,1692.149,1977.59,2293.493
270,         Gambia,Female,,619.91,728.09,854.116,998.625,1158.385
270,         Gambia,Male,,611.94,716.125,838.031,978.959,1135.107
288,         Ghana,Both sexes combined,,18938.76,21542.009,24512.104,27582.821,30733.755
288,         Ghana,Female,,9373.77,10778.294,12378.251,13858.891,15399.349
288,         Ghana,Male,,9564.98,10763.707,12133.842,13723.929,15334.41
324,         Guinea,Both sexes combined,,8808.55,9679.745,10794.17,12091.533,13750.826
324,         Guinea,Female,,4422.25,4841.092,5394.253,6032.162,6852.039
324,         Guinea,Male,,4386.30,4838.658,5399.923,6059.372,6898.785
624,         Guinea-Bissau,Both sexes combined,,1243.23,1380.838,1555.88,1770.526,2000.694
624,         Guinea-Bissau,Female,,634.94,706.553,793.189,900.195,1015.074
624,         Guinea-Bissau,Male,,608.28,674.287,762.68,870.333,985.62
430,         Liberia,Both sexes combined,,2884.52,3261.23,3948.125,4499.621,5103.853
430,         Liberia,Female,,1443.10,1626.14,1962.749,2231.332,2526.064
430,         Liberia,Male,,1441.42,1635.086,1985.387,2268.288,2577.788
466,         Mali,Both sexes combined,,10967.69,12798.763,15075.085,17467.905,20284.18
466,         Mali,Female,,5527.49,6427.935,7544.177,8732.268,10121.503
466,         Mali,Male,,5440.20,6370.826,7530.904,8735.645,10162.68
478,         Mauritania,Both sexes combined,,2709.36,3130.72,3609.543,4182.341,4783.767
478,         Mauritania,Female,,1355.24,1562.468,1797.102,2076.145,2370.696
478,         Mauritania,Male,,1354.13,1568.249,1812.44,2106.193,2413.069
562,         Niger,Both sexes combined,,11352.97,13618.449,16425.578,19896.965,24074.693
562,         Niger,Female,,5718.34,6833.662,8215.975,9929.261,11985.806
562,         Niger,Male,,5634.64,6784.789,8209.607,9967.702,12088.885
566,         Nigeria,Both sexes combined,,122352.01,138939.478,158578.261,181181.744,206152.701
566,         Nigeria,Female,,60667.14,68779.523,78374.055,89413.015,101627.887
566,         Nigeria,Male,,61684.87,70159.951,80204.204,91768.732,104524.811
654,         Saint Helena,Both sexes combined,,5.11,4.275,4.177,4.034,4.126
686,         Senegal,Both sexes combined,,9884.05,11251.266,12916.229,14976.994,17200.154
686,         Senegal,Female,,5019.56,5733.5,6592.433,7626.013,8739.041
686,         Senegal,Male,,4864.49,5517.768,6323.796,7350.978,8461.117
694,         Sierra Leone,Both sexes combined,,4564.30,5658.379,6458.72,7237.025,8046.931
694,         Sierra Leone,Female,,2310.95,2867.31,3268.921,3655.459,4058.623
694,         Sierra Leone,Male,,2253.35,2791.064,3189.798,3581.569,3988.319
768,         Togo,Both sexes combined,,4970.37,5683.268,6502.952,7416.802,8384.291
768,         Togo,Female,,2505.44,2859.647,3265.86,3721.088,4202.546
768,         Togo,Male,,2464.92,2823.622,3237.086,3695.718,4181.744
935,   Asia,Both sexes combined,,3730370.63,3964342.662,4194425.212,4419897.601,4623454.191
935,   Asia,Female,,1825698.86,1937910.075,2048471.965,2158307.634,2258388.455
